name,wins,losses,draws,total_fights,win_rate,height_cm,reach_in_cm,ape_index,stance,sig_striking_accuracy,takedown_accuracy
Cam Rowston,14,3,0,17.0,0.8235294117647058,190.5,198.12,1.04,Orthodox,46.0,50.0
Ryan LaFlare,14,3,0,17.0,0.8235294117647058,185.42,187.96,1.0136986301369864,Southpaw,40.0,44.0
Amiran Gogoladze,14,3,0,17.0,0.8235294117647058,185.42,187.96,1.0136986301369864,Switch,66.0,0.0
Patricio Freire,37,8,0,45.0,0.8222222222222222,167.64,170.18,1.0151515151515154,Orthodox,43.0,33.0
Jimmie Rivera,23,5,0,28.0,0.8214285714285714,162.56,172.72,1.0625,Orthodox,40.0,27.0
Amanda Nunes,23,5,0,28.0,0.8214285714285714,172.72,175.26,1.0147058823529411,Orthodox,51.0,54.0
Gerald Harris,23,5,0,28.0,0.8214285714285714,180.34,195.58,1.0845070422535212,Southpaw,29.0,54.0
Ryan Bader,23,5,0,28.0,0.8214285714285714,187.96,187.96,1.0,Orthodox,43.0,44.0
Ryan Hall,9,2,0,11.0,0.8181818181818182,177.8,177.8,1.0,Southpaw,50.0,9.0
Impa Kasanganay,9,2,0,11.0,0.8181818181818182,180.34,190.5,1.056338028169014,Orthodox,48.0,58.0
Jonas Bilharinho,9,1,1,11.0,0.8181818181818182,180.34,190.5,1.056338028169014,Switch,60.0,0.0
Sarah Frota,9,2,0,11.0,0.8181818181818182,167.64,175.26,1.0454545454545454,Southpaw,52.0,0.0
Cam Teague,9,2,0,11.0,0.8181818181818182,177.8,175.26,0.9857142857142857,Orthodox,28.0,0.0
Chris Hofmann,9,2,0,11.0,0.8181818181818182,182.88,182.88,1.0,Orthodox,45.0,42.0
Ethyn Ewing,9,2,0,11.0,0.8181818181818182,167.64,175.26,1.0454545454545454,Orthodox,52.0,60.0
Trey Waters,9,2,0,11.0,0.8181818181818182,195.58,195.58,1.0,Orthodox,44.0,33.0
Luke Flores,9,2,0,11.0,0.8181818181818182,182.88,185.42000000000002,1.013888888888889,Southpaw,44.0,0.0
Mark Climaco,9,2,0,11.0,0.8181818181818182,162.56,165.1,1.015625,Southpaw,59.0,36.0
Joe Lowry,9,2,0,11.0,0.8181818181818182,180.34,185.42000000000002,1.028169014084507,Orthodox,34.0,0.0
Pat Pytlik,9,2,0,11.0,0.8181818181818182,182.88,185.42000000000002,1.013888888888889,Orthodox,56.0,0.0
Rongzhu,27,6,0,33.0,0.8181818181818182,175.26,180.34,1.028985507246377,Orthodox,51.0,62.0
Rodrigo Sezinando,9,2,0,11.0,0.8181818181818182,175.26,180.34,1.028985507246377,Orthodox,27.0,25.0
Bryce Mitchell,18,4,0,22.0,0.8181818181818182,177.8,177.8,1.0,Southpaw,59.0,36.0
Rafa Garcia,18,4,0,22.0,0.8181818181818182,170.18,177.8,1.0447761194029852,Orthodox,45.0,44.0
Hunter Azure,9,2,0,11.0,0.8181818181818182,172.72,175.26,1.0147058823529411,Orthodox,53.0,34.0
Danni McCormack,9,2,0,11.0,0.8181818181818182,162.56,157.48,0.9687499999999999,Southpaw,51.0,42.0
Taiga Iwasaki,9,2,0,11.0,0.8181818181818182,185.42,185.42000000000002,1.0000000000000002,Orthodox,33.0,0.0
Patrik White,9,2,0,11.0,0.8181818181818182,182.88,182.88,1.0,Orthodox,49.0,0.0
Jamey-Lyn Horth,9,2,0,11.0,0.8181818181818182,170.18,167.64000000000001,0.9850746268656717,Orthodox,55.0,42.0
Bogdan Guskov,18,3,1,22.0,0.8181818181818182,190.5,193.04,1.0133333333333332,Orthodox,55.0,0.0
Timur Valiev,18,3,0,22.0,0.8181818181818182,167.64,170.18,1.0151515151515154,Orthodox,53.0,40.0
Brady Hiestand,9,2,0,11.0,0.8181818181818182,172.72,180.34,1.0441176470588236,Orthodox,50.0,46.0
Jhonata Diniz,9,2,0,11.0,0.8181818181818182,193.04,200.66,1.0394736842105263,Orthodox,56.0,0.0
Albert Tumenov,18,4,0,22.0,0.8181818181818182,180.34,185.42000000000002,1.028169014084507,Orthodox,42.0,20.0
Dom Mar Fan,9,2,0,11.0,0.8181818181818182,180.34,190.5,1.056338028169014,Orthodox,56.0,50.0
Mairbek Taisumov,27,6,0,33.0,0.8181818181818182,175.26,185.42000000000002,1.0579710144927537,Orthodox,39.0,63.0
Fares Ziam,18,4,0,22.0,0.8181818181818182,185.42,190.5,1.0273972602739727,Orthodox,52.0,40.0
Daermisi Zhawupasi,9,2,0,11.0,0.8181818181818182,172.72,172.72,1.0,Switch,40.0,65.0
